year,school,subject,download_url
114,"國立臺灣師範大學-地理學系碩士班",空間資訊概論,"https://master.get.com.tw/exam/Download.ashx?iP=100767&iDP=66471&iS=4573"
113,"國立臺灣師範大學-地理學系碩士班",空間資訊概論,"https://master.get.com.tw/exam/Download.ashx?iP=98457&iDP=65150&iS=4573"
112,"國立臺灣師範大學-地理學系碩士班",空間資訊概論,"https://master.get.com.tw/exam/Download.ashx?iP=96698&iDP=64995&iS=4573"
109,"國立臺灣師範大學-地理學系碩士班",空間資訊概論,"https://master.get.com.tw/exam/Download.ashx?iP=90168&iDP=60696&iS=4573"
109,"私立淡江大學-資訊與圖書館學系碩士班",資訊概論,"https://master.get.com.tw/exam/Download.ashx?iP=89977&iDP=60615&iS=3034"
108,"私立慈濟大學-醫學資訊學系碩士班",生物醫學資訊概論,"https://master.get.com.tw/exam/Download.ashx?iP=89106&iDP=61775&iS=4727"
108,"國立臺灣師範大學-地理學系碩士班",空間資訊概論,"https://master.get.com.tw/exam/Download.ashx?iP=86744&iDP=56754&iS=4573"
108,"私立淡江大學-資訊與圖書館學系碩士班",資訊概論,"https://master.get.com.tw/exam/Download.ashx?iP=85569&iDP=56662&iS=3034"
107,"私立慈濟大學-醫學資訊學系碩士班",生物醫學資訊概論,"https://master.get.com.tw/exam/Download.ashx?iP=89103&iDP=50285&iS=4727"
107,"私立逢甲大學-都市計畫與空間資訊學系碩士班空間資訊組",空間資訊概論,"https://master.get.com.tw/exam/Download.ashx?iP=83415&iDP=48852&iS=4573"
107,"私立元智大學-生物與醫學資訊碩士學位學程",生物資訊概論,"https://master.get.com.tw/exam/Download.ashx?iP=82427&iDP=48681&iS=5932"
107,"國立臺灣師範大學-地理學系碩士班",空間資訊概論,"https://master.get.com.tw/exam/Download.ashx?iP=82266&iDP=46418&iS=4573"
107,"私立淡江大學-資訊與圖書館學系碩士班",資訊概論,"https://master.get.com.tw/exam/Download.ashx?iP=82039&iDP=48602&iS=3034"
106,"私立慈濟大學-醫學資訊學系碩士班",生物醫學資訊概論,"https://master.get.com.tw/exam/Download.ashx?iP=89101&iDP=43434&iS=4727"
106,"國立臺灣師範大學-地理學系碩士班",空間資訊概論,"https://master.get.com.tw/exam/Download.ashx?iP=55592&iDP=39758&iS=4573"
106,"國立臺灣師範大學-地理學系碩士班空間資訊組",空間資訊概論,"https://master.get.com.tw/exam/Download.ashx?iP=54918&iDP=40905&iS=4573"
105,"私立慈濟大學-醫學資訊學系碩士班",生物醫學資訊概論,"https://master.get.com.tw/exam/Download.ashx?iP=89098&iDP=33965&iS=4727"
104,"私立淡江大學-教育科技學系碩士班",資訊概論,"https://master.get.com.tw/exam/Download.ashx?iP=51624&iDP=28665&iS=3034"
104,"私立淡江大學-資訊與圖書館學系碩士班",資訊概論,"https://master.get.com.tw/exam/Download.ashx?iP=51559&iDP=28661&iS=3034"
104,"私立淡江大學-管理科學研究所A組",資訊概論,"https://master.get.com.tw/exam/Download.ashx?iP=51599&iDP=28680&iS=3034"
104,"國立臺灣師範大學-地理學系碩士班空間資訊組",空間資訊概論（地理資訊系統、遙測學、地圖學）,"https://master.get.com.tw/exam/Download.ashx?iP=51964&iDP=29167&iS=4821"
103,"私立元智大學-生物與醫學資訊碩士學位學程",生物資訊概論,"https://master.get.com.tw/exam/Download.ashx?iP=26351&iDP=12367&iS=5932"
103,"私立淡江大學-資訊與圖書館學系碩士班",資訊概論,"https://master.get.com.tw/exam/Download.ashx?iP=25455&iDP=11947&iS=3034"
103,"私立淡江大學-管理科學研究所A組",資訊概論,"https://master.get.com.tw/exam/Download.ashx?iP=25514&iDP=11964&iS=3034"
103,"國立交通大學-傳播研究所乙組（一般生）",資訊概論,"https://master.get.com.tw/exam/Download.ashx?iP=24807&iDP=11643&iS=3034"
103,"國立臺灣師範大學-地理學系碩士班空間資訊組",空間資訊概論（地理資訊系統、遙測學、地圖學）,"https://master.get.com.tw/exam/Download.ashx?iP=25302&iDP=11394&iS=4821"
102,"私立元智大學-生物與醫學資訊碩士學位學程",生物資訊概論,"https://master.get.com.tw/exam/Download.ashx?iP=23689&iDP=9614&iS=5932"
102,"私立淡江大學-資訊與圖書館學系碩士班",資訊概論,"https://master.get.com.tw/exam/Download.ashx?iP=23582&iDP=9548&iS=3034"
102,"私立淡江大學-管理科學研究所A組",資訊概論,"https://master.get.com.tw/exam/Download.ashx?iP=23614&iDP=9570&iS=3034"
101,"國立雲林科技大學-設計運算研究所",資訊概論,"https://master.get.com.tw/exam/Download.ashx?iP=9553&iDP=2428&iS=3034"
101,"私立淡江大學-化學工程與材料工程學系碩士班C組",資訊概論,"https://master.get.com.tw/exam/Download.ashx?iP=14770&iDP=6248&iS=3034"
101,"私立淡江大學-資訊與圖書館學系碩士班",資訊概論,"https://master.get.com.tw/exam/Download.ashx?iP=7600&iDP=1542&iS=3034"
101,"私立逢甲大學-土地管理學系碩士班",空間資訊概論,"https://master.get.com.tw/exam/Download.ashx?iP=8125&iDP=1793&iS=4573"
101,"私立開南大學-碩士班共同科目",資訊概論,"https://master.get.com.tw/exam/Download.ashx?iP=9833&iDP=2592&iS=3034"
101,"私立慈濟大學-醫學資訊學系碩士班",生物醫學資訊概論,"https://master.get.com.tw/exam/Download.ashx?iP=17680&iDP=6930&iS=4727"
101,"私立臺北醫學大學-醫學資訊研究所",生物醫學資訊概論,"https://master.get.com.tw/exam/Download.ashx?iP=8629&iDP=2007&iS=4727"
101,"國立臺灣師範大學-地理學系碩士班",空間資訊概論（地理資訊系統、遙測學、地圖學）,"https://master.get.com.tw/exam/Download.ashx?iP=8823&iDP=2111&iS=4821"
100,"國立雲林科技大學-設計運算研究所",資訊概論,"https://master.get.com.tw/exam/Download.ashx?iP=26977&iDP=5062&iS=3034"
100,"私立亞東技術學院-運籌管理研究所",資訊概論,"https://master.get.com.tw/exam/Download.ashx?iP=10060&iDP=5409&iS=3034"
100,"私立淡江大學-化學工程與材料工程學系碩士班C組",資訊概論,"https://master.get.com.tw/exam/Download.ashx?iP=14765&iDP=7119&iS=3034"
100,"私立淡江大學-資訊工程學系碩士班A組",資訊概論,"https://master.get.com.tw/exam/Download.ashx?iP=14791&iDP=4232&iS=3034"
100,"私立淡江大學-資訊工程學系碩士班B組",資訊概論,"https://master.get.com.tw/exam/Download.ashx?iP=14791&iDP=4233&iS=3034"
100,"私立淡江大學-資訊網路與通訊碩士班A組",資訊概論,"https://master.get.com.tw/exam/Download.ashx?iP=14791&iDP=4234&iS=3034"
100,"私立淡江大學-資訊與圖書館學系碩士班",資訊概論,"https://master.get.com.tw/exam/Download.ashx?iP=14660&iDP=4176&iS=3034"
100,"私立逢甲大學-土地管理學系碩士班",空間資訊概論,"https://master.get.com.tw/exam/Download.ashx?iP=15100&iDP=4427&iS=4573"
100,"私立開南大學-碩士班共同科目",資訊概論,"https://master.get.com.tw/exam/Download.ashx?iP=16863&iDP=5226&iS=3034"
100,"私立樹德科技大學-資訊工程系碩士在職專班",資訊概論,"https://master.get.com.tw/exam/Download.ashx?iP=17323&iDP=5388&iS=3034"
97,"私立淡江大學-土木工程學系碩士班D組",資訊概論,"https://master.get.com.tw/exam/Download.ashx?iP=18781&iDP=11103&iS=3034"
97,"私立淡江大學-資訊工程學系碩士班A組",資訊概論,"https://master.get.com.tw/exam/Download.ashx?iP=18914&iDP=10585&iS=3034"
97,"私立淡江大學-資訊工程學系碩士班B組",資訊概論,"https://master.get.com.tw/exam/Download.ashx?iP=18914&iDP=10586&iS=3034"
97,"國立交通大學-傳播研究所甲組（一般生）",資訊概論,"https://master.get.com.tw/exam/Download.ashx?iP=20791&iDP=10179&iS=3034"
97,"國立交通大學-傳播研究所甲組（在職生）",資訊概論,"https://master.get.com.tw/exam/Download.ashx?iP=20792&iDP=10180&iS=3034"
97,"國立交通大學-應用藝術研究所甲組",資訊概論,"https://master.get.com.tw/exam/Download.ashx?iP=20877&iDP=10181&iS=3034"
97,"國立高雄應用科技大學-土木工程與防災科技研究所戊組",空間資訊概論,"https://master.get.com.tw/exam/Download.ashx?iP=19145&iDP=11111&iS=4573"
94,"國立政治大學-圖書資訊與檔案學研究所",資訊概論,"https://master.get.com.tw/exam/Download.ashx?iP=5064&iDP=5781&iS=3034"